127.0.0.1 - - [02/Jul/2020:09:29:41 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/showAllDrink HTTP/1.1" 200 55952
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/css/cs-skin-elastic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/css/lib/fileinput.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/css/lib/theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/css/lib/datatable/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/css/drinktable.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/js/lib/data-table/datatables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/js/lib/data-table/vfs_fonts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/js/lib/data-table/jszip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/js/lib/data-table/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/js/lib/data-table/dataTables.buttons.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.print.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.html5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/client/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.colVis.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/js/lib/fileinput.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/js/lib/zh.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/client/img/drink/drink1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/client/img/drink/drink5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/images/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/images/mylogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/assets/js/init/datatables-init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/admin/images/dhead.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:51 +0800] "GET /Persephone/client/img/drink/a97d3248-a4b4-4a93-8974-c02df11bfaef.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:52 +0800] "GET /Persephone/admin/images/drinkdft.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:52 +0800] "GET /client/img/drink/drink2.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:54 +0800] "GET /Persephone/admin/login.jsp HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:56 +0800] "POST /Persephone/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:56 +0800] "GET /Persephone/showUser HTTP/1.1" 200 23166
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:56 +0800] "GET /Persephone/admin/assets/js/userForm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:58 +0800] "GET /Persephone/showAllDrink HTTP/1.1" 200 55981
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:58 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:29:58 +0800] "GET /client/img/drink/drink2.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:35:12 +0800] "GET /Persephone/showAllDrink HTTP/1.1" 200 56099
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:35:12 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
